"通番","番号","名称","ディレクトリ"
1,"1101","dog.jpeg","dog.jpeg"
2,"1102","raimond.jpg","raimond.jpg"
3,"1103","charch.png","charch.png"
4,"1104","duck.png","duck.png"
5,"1105","buranko.jpeg","buranko.jpeg"
6,"1106","kuma.png","kuma.png"
7,"1107","gogh01.jpg","gogh01.jpg"
8,"1108","gogh02.jpg","gogh02.jpg"
9,"1201","dog2g.png","dog2g.png"
10,"1202","raimond2g.jpg","raimond2g.jpg"
11,"1203","charch2g.png","charch2g.png"
12,"1204","duck2g.png","duck2g.png"
13,"1205","buranko2g.png","buranko2g.png"
14,"1206","kuma2g.png","kuma2g.png"
15,"2101","dog.jpeg","dog.jpeg"
16,"2102","kaminari.png","kaminari.png"
17,"2103","ycafe.jpeg","ycafe.jpeg"
18,"2104","cow.png","cow.png"
19,"2105","oosaka3.png","oosaka3.png"
20,"2106","camping.png","camping.png"
21,"2107","nekoisi.jpg","nekoisi.jpg"
22,"2201","dog2u.png","dog2u.png"
23,"2202","kaminari2u.png","kaminari2u.png"
24,"2203","ycafe2u.png","ycafe2u.png"
25,"2204","cow2u.png","cow2u.png"
26,"2205","oosaka2u.png","oosaka2u.png"
27,"2206","camping2u.png","camping2u.png"
28,"3101","dog.jpeg","dog.jpeg"
29,"3102","bridg.png","bridg.png"
30,"3103","yarii.png","yarii.png"
31,"3104","step1.png","step1.png"
32,"3105","fruit.png","fruit.png"
33,"3106","step.png","step.png"
34,"3107","monet01.jpg","monet01.jpg"
35,"3108","monet02.jpg","monet02.jpg"
36,"3201","dog2m.png","dog2m.png"
37,"3202","bridg2m.png","bridg2m.png"
38,"3203","yarii2m.png","yarii2m.png"
39,"3204","step2m.png","step2m.png"
40,"3205","fruit2f.png","fruit2f.png"
41,"3206","step2v.png","step2v.png"
42,"6001","bike2g.png","bike2g.png"
43,"6002","book2g.png","book2g.png"
44,"6003","bridg2g.png","bridg2g.png"
45,"6004","cactus2g.png","cactus2g.png"
46,"6005","cactus22g.png","cactus22g.png"
47,"6006","cake22g.png","cake22g.png"
48,"6007","cakes2g.png","cakes2g.png"
49,"6008","camping2g.png","camping2g.png"
50,"6009","car2g.png","car2g.png"
51,"6010","cat01.jpg","cat01.jpg"
52,"6011","cat2gogh.jpg","cat2gogh.jpg"
53,"6012","cat32g.png","cat32g.png"
54,"6013","charch2g.png","charch2g.png"
55,"6014","computer2g.png","computer2g.png"
56,"6015","cow2g.png","cow2g.png"
57,"6016","dog2g.png","dog2g.png"
58,"6017","dog32g.png","dog32g.png"
59,"6018","duck2g.png","duck2g.png"
60,"6019","gate2g.png","gate2g.png"
61,"6020","gogh01.jpg","gogh01.jpg"
62,"6021","gogh02.jpg","gogh02.jpg"
63,"6022","house2g.png","house2g.png"
64,"6023","house322g.png","house322g.png"
65,"6024","jelly2g.png","jelly2g.png"
66,"6025","jelly32g.png","jelly32g.png"
67,"6026","jsiro2g.png","jsiro2g.png"
68,"6027","land2g.png","land2g.png"
69,"6028","maneki2g.png","maneki2g.png"
70,"6029","mountain2g.png","mountain2g.png"
71,"6030","oosaka2g.png","oosaka2g.png"
72,"6031","oosaka32g.png","oosaka32g.png"
73,"6032","oudan2g.png","oudan2g.png"
74,"6033","pome12g.png","pome12g.png"
75,"6034","pome32g.png","pome32g.png"
76,"6035","raimond2g.jpg","raimond2g.jpg"
77,"6036","raimond-klavins2g.png","raimond-klavins2g.png"
78,"6037","rduck32g.png","rduck32g.png"
79,"6038","readme.txt","readme.txt"
80,"6039","siro42g.png","siro42g.png"
81,"6040","snake2g.png","snake2g.png"
82,"6041","steps12g.png","steps12g.png"
83,"6042","steps32g.png","steps32g.png"
84,"6043","styleGAN3002g.png","styleGAN3002g.png"
85,"6044","subway2g.png","subway2g.png"
86,"6045","subway32g.png","subway32g.png"
87,"6046","torii2g.png","torii2g.png"
88,"6047","yarii2g.png","yarii2g.png"
89,"6048","ycafe2g.png","ycafe2g.png"
90,"6049","duck42g.png","duck42g.png"
91,"6050","berry2g.png","berry2g.png"
92,"6051","dog42g.png","dog42g.png"
93,"6052","rab2g.png","rab2g.png"
94,"6053","carry2g.png","carry2g.png"
95,"6054","kuma2g.png","kuma2g.png"
96,"6055","tyou2g.png","tyou2g.png"
97,"6056","nemu2g.png","nemu2g.png"
98,"6057","umi2g.png","umi2g.png"
99,"6058","bra2g.png","bra2g.png"
100,"6059","branko2g.png","branko2g.png"
101,"6060","inu2g.png","inu2g.png"
102,"6061","dog52g.png","dog52g.png"
103,"7001","img2uki\bike1_fake.png","img2uki\bike1_fake.png"
104,"7002","img2uki\books_fake.png","img2uki\books_fake.png"
105,"7003","img2uki\bridg_fake.png","img2uki\bridg_fake.png"
106,"7004","img2uki\cactus2u.png","img2uki\cactus2u.png"
107,"7005","img2uki\cactus3_fake.png","img2uki\cactus3_fake.png"
108,"7006","img2uki\cakes_fake.png","img2uki\cakes_fake.png"
109,"7007","img2uki\cakes3_fake.png","img2uki\cakes3_fake.png"
110,"7008","img2uki\camping_fake.png","img2uki\camping_fake.png"
111,"7009","img2uki\car1_fake.png","img2uki\car1_fake.png"
112,"7010","img2uki\cat3_fake.png","img2uki\cat3_fake.png"
113,"7011","img2uki\charch1_fake.png","img2uki\charch1_fake.png"
114,"7012","img2uki\computer_fake.png","img2uki\computer_fake.png"
115,"7013","img2uki\cow_fake.png","img2uki\cow_fake.png"
116,"7014","img2uki\dog2ukiyoe.png","img2uki\dog2ukiyoe.png"
117,"7015","img2uki\duck_fake.png","img2uki\duck_fake.png"
118,"7016","img2uki\duck3_fake.png","img2uki\duck3_fake.png"
119,"7017","img2uki\gate1_fake.png","img2uki\gate1_fake.png"
120,"7018","img2uki\house_fake.png","img2uki\house_fake.png"
121,"7019","img2uki\house3_fake.png","img2uki\house3_fake.png"
122,"7020","img2uki\jelly_fake.png","img2uki\jelly_fake.png"
123,"7021","img2uki\jelly3_fake.png","img2uki\jelly3_fake.png"
124,"7022","img2uki\jsiro_fake.png","img2uki\jsiro_fake.png"
125,"7023","img2uki\kaminari2ukiyoe.png","img2uki\kaminari2ukiyoe.png"
126,"7024","img2uki\land_fake.png","img2uki\land_fake.png"
127,"7025","img2uki\maneki_fake.png","img2uki\maneki_fake.png"
128,"7026","img2uki\mountain_fake.png","img2uki\mountain_fake.png"
129,"7027","img2uki\nekoisi.png","img2uki\nekoisi.png"
130,"7028","img2uki\oosaka_fake.png","img2uki\oosaka_fake.png"
131,"7029","img2uki\oosaka3_fake.png","img2uki\oosaka3_fake.png"
132,"7030","img2uki\oudan_fake.png","img2uki\oudan_fake.png"
133,"7031","img2uki\pome1_fake.png","img2uki\pome1_fake.png"
134,"7032","img2uki\pome3_fake.png","img2uki\pome3_fake.png"
135,"7033","img2uki\raimond_fake.png","img2uki\raimond_fake.png"
136,"7034","img2uki\siro_fake.png","img2uki\siro_fake.png"
137,"7035","img2uki\siro2ukiyoe.png","img2uki\siro2ukiyoe.png"
138,"7036","img2uki\snake_fake.png","img2uki\snake_fake.png"
139,"7037","img2uki\steps1_fake.png","img2uki\steps1_fake.png"
140,"7038","img2uki\steps3_fake.png","img2uki\steps3_fake.png"
141,"7039","img2uki\styleGAN300_fake.png","img2uki\styleGAN300_fake.png"
142,"7040","img2uki\subway.1png_fake.png","img2uki\subway.1png_fake.png"
143,"7041","img2uki\subway3_fake.png","img2uki\subway3_fake.png"
144,"7042","img2uki\torii_fake.png","img2uki\torii_fake.png"
145,"7043","img2uki\yarii_fake.png","img2uki\yarii_fake.png"
146,"7044","img2uki\ycafe_fake.png","img2uki\ycafe_fake.png"
147,"7045","img2uki\アヒル2_fake.png","img2uki\アヒル2_fake.png"
148,"7046","img2uki\イチゴ_fake.png","img2uki\イチゴ_fake.png"
149,"7047","img2uki\イヌ1_fake.png","img2uki\イヌ1_fake.png"
150,"7048","img2uki\ウサギ2_fake.png","img2uki\ウサギ2_fake.png"
151,"7049","img2uki\カレー_fake.png","img2uki\カレー_fake.png"
152,"7050","img2uki\クマえもん_fake.png","img2uki\クマえもん_fake.png"
153,"7051","img2uki\ちょうちん_fake.png","img2uki\ちょうちん_fake.png"
154,"7052","img2uki\ねむの木_fake.png","img2uki\ねむの木_fake.png"
155,"7053","img2uki\ひとで_fake.png","img2uki\ひとで_fake.png"
156,"7054","img2uki\ぶらくり_fake.png","img2uki\ぶらくり_fake.png"
157,"7055","img2uki\ぶらんこ_fake.png","img2uki\ぶらんこ_fake.png"
158,"7056","img2uki\犬_fake.png","img2uki\犬_fake.png"
159,"7057","img2uki\犬1_fake.png","img2uki\犬1_fake.png"
160,"8001","img2monet\bike1_fake.png","img2monet\bike1_fake.png"
161,"8002","img2monet\books_fake.png","img2monet\books_fake.png"
162,"8003","img2monet\bridg_fake.png","img2monet\bridg_fake.png"
163,"8004","img2monet\cactus1_fake1.png","img2monet\cactus1_fake1.png"
164,"8005","img2monet\cactus3_fake.png","img2monet\cactus3_fake.png"
165,"8006","img2monet\cakes_fake.png","img2monet\cakes_fake.png"
166,"8007","img2monet\cakes3_fake.png","img2monet\cakes3_fake.png"
167,"8008","img2monet\camping_fake.png","img2monet\camping_fake.png"
168,"8009","img2monet\car1_fake.png","img2monet\car1_fake.png"
169,"8010","img2monet\cat3_fake.png","img2monet\cat3_fake.png"
170,"8011","img2monet\charch1_fake.png","img2monet\charch1_fake.png"
171,"8012","img2monet\computer_fake.png","img2monet\computer_fake.png"
172,"8013","img2monet\cow_fake.png","img2monet\cow_fake.png"
173,"8014","img2monet\duck_fake.png","img2monet\duck_fake.png"
174,"8015","img2monet\duck3_fake.png","img2monet\duck3_fake.png"
175,"8016","img2monet\gate1_fake.png","img2monet\gate1_fake.png"
176,"8017","img2monet\house_fake.png","img2monet\house_fake.png"
177,"8018","img2monet\house3_fake.png","img2monet\house3_fake.png"
178,"8019","img2monet\jelly_fake.png","img2monet\jelly_fake.png"
179,"8020","img2monet\jelly3_fake.png","img2monet\jelly3_fake.png"
180,"8021","img2monet\jsiro_fake.png","img2monet\jsiro_fake.png"
181,"8022","img2monet\land_fake.png","img2monet\land_fake.png"
182,"8023","img2monet\maneki_fake.png","img2monet\maneki_fake.png"
183,"8024","img2monet\mountain_fake.png","img2monet\mountain_fake.png"
184,"8025","img2monet\oosaka_fake.png","img2monet\oosaka_fake.png"
185,"8026","img2monet\oosaka3_fake.png","img2monet\oosaka3_fake.png"
186,"8027","img2monet\oudan_fake.png","img2monet\oudan_fake.png"
187,"8028","img2monet\pome1_fake.png","img2monet\pome1_fake.png"
188,"8029","img2monet\pome3_fake.png","img2monet\pome3_fake.png"
189,"8030","img2monet\siro_fake.png","img2monet\siro_fake.png"
190,"8031","img2monet\snake_fake.png","img2monet\snake_fake.png"
191,"8032","img2monet\steps1_fake.png","img2monet\steps1_fake.png"
192,"8033","img2monet\steps3_fake.png","img2monet\steps3_fake.png"
193,"8034","img2monet\styleGAN300_fake.png","img2monet\styleGAN300_fake.png"
194,"8035","img2monet\subway.1png_fake.png","img2monet\subway.1png_fake.png"
195,"8036","img2monet\subway3_fake.png","img2monet\subway3_fake.png"
196,"8037","img2monet\torii_fake.png","img2monet\torii_fake.png"
197,"8038","img2monet\yarii_fake.png","img2monet\yarii_fake.png"
198,"8039","img2monet\ycafe_fake.png","img2monet\ycafe_fake.png"
199,"8040","img2monet\アヒル2_fake.png","img2monet\アヒル2_fake.png"
200,"8041","img2monet\イチゴ_fake.png","img2monet\イチゴ_fake.png"
201,"8042","img2monet\イヌ1_fake.png","img2monet\イヌ1_fake.png"
202,"8043","img2monet\ウサギ2_fake.png","img2monet\ウサギ2_fake.png"
203,"8044","img2monet\カレー_fake.png","img2monet\カレー_fake.png"
204,"8045","img2monet\ちょうちん_fake.png","img2monet\ちょうちん_fake.png"
205,"8046","img2monet\ねむの木_fake.png","img2monet\ねむの木_fake.png"
206,"8047","img2monet\ひとで_fake.png","img2monet\ひとで_fake.png"
207,"8048","img2monet\ぶらくり_fake.png","img2monet\ぶらくり_fake.png"
208,"8049","img2monet\ぶらんこ_fake.png","img2monet\ぶらんこ_fake.png"
209,"8050","img2monet\犬1_fake.png","img2monet\犬1_fake.png"
